title,authors,narrators
"Butler to the World: The Book the Oligarchs Don't Want You to Read - How Britain Helps the World's Worst People Launder Money, Commit Crimes, and Get Away with Anything",['Oliver Bullough'],['Oliver Bullough']
"Peril in Paris: Royal Spyness, Book 16",['Rhys Bowen'],['Jasmine Blackborow']
"The Railway Murders: A Yorkshire Murder Mystery, Book 8",['J. R. Ellis'],['Michael Page']
"Murder at the Serpentine Bridge: A Wrexford & Sloane Mystery, Book 6",['Andrea Penrose'],['James Cameron Stewart']
Birds of Prey: The Harlan Coben Challenge,"['Kelley Armstrong', 'Ace Atkins', 'C.J. Box', 'Allison Brennan', 'S.A. Cosby', 'Robert Dugoni', 'Tess Gerritsen', 'Heather Graham', 'Gregg Hurwitz', 'Kathy Reichs', 'Hank Phillippi Ryan']",['full cast']
"Death of a Hollow Man: A Midsomer Murders Mystery, Book 2",['Caroline Graham'],['John Hopkins']
"Give Unto Others: Commissario Brunetti Mysteries, Book 31",['Donna Leon'],['David Colacci']
The Law of Innocence,['Michael Connelly'],['Peter Giles']
"The Divider: Trump in the White House, 2017-2021","['Peter Baker', 'Susan Glasser']",['Michael Quinlan']
The Last Party: A Novel,['Clare Mackintosh'],['Chloe Angharad Davies']
The Bell Jar,['Sylvia Plath'],['Maggie Gyllenhaal']
The Sentence Is Death: A Novel,['Anthony Horowitz'],['Rory Kinnear']
Pieces of Her,['Karin Slaughter'],['Kathleen Early']
Hercule Poirot: The Complete Short Stories: A Hercule Poirot Collection with Foreword by Charles Todd (Hercule Poirot Mysteries),['Agatha Christie'],"['David Suchet', 'Hugh Fraser', 'Nigel Hawthorne', 'Isla Blair', 'Simon Vance']"
"The Nazi Conspiracy: The Secret Plot to Kill Roosevelt, Stalin, and Churchill","['Brad Meltzer', 'Josh Mensch']",['Scott Brick']
"East West Street: On the Origins of ""Genocide"" and ""Crimes Against Humanity""",['Philippe Sands'],"['David Rintoul', 'Philippe Sands']"
"Girl, Forgotten",['Karin Slaughter'],['Kathleen Early']
In Pursuit of the Proper Sinner: Inspector Lynley,['Elizabeth George'],['Donada Peters']
Good Omens: A Full Cast Production,"['Neil Gaiman', 'Terry Pratchett']","['Rebecca Front', 'Michael Sheen', 'David Tennant', 'Katherine Kingsley', 'Arthur Darvill', 'Peter Forbes', 'Gabrielle Glaister', 'Louis Davison', 'Pixie Davies', 'Chris Nelson', 'Ferdinand Frisby Williams', 'Adjoa Andoh', 'Allan Corduner', 'Kobna Holdbrook-Smith', 'John Hopkins']"
The Change: A Novel,['Kirsten Miller'],['January LaVoy']
The Diamond Eye: A Novel,['Kate Quinn'],['Saskia Maarleveld']
Where the Sky Begins: A Novel,['Rhys Bowen'],['Emma Griffiths']
"Death at La Fenice: Commissario Brunetti Mysteries, Book 1",['Donna Leon'],['David Colacci']
Dead Water,['C. A. Fletcher'],['Siobhan Redmond']
Transformer: The Deep Chemistry of Life and Death,['Nick Lane'],['Richard Trinder']
The Good Wife of Bath: A Novel,['Karen Brooks'],['Fran Burgoyne']
Heads: A Biography of Psychedelic America,['Jesse Jarnow'],['Jesse Jarnow']
More Than You'll Ever Know: A Novel,['Katie Gutierrez'],"['In�s del Castillo', 'Yareli Arizmendi']"
Decimate,['Christopher Rice'],['Karen Peakes']
"The Rising Tide: A Vera Stanhope Novel (Vera Stanhope, Book 10)",['Ann Cleeves'],['Janine Birkett']
Murder in an English Village,['Jessica Ellicott'],['Barbara Rosenblat']
A Great Reckoning: A Novel,['Louise Penny'],['Robert Bathurst']
A Wrinkle in Time,"[""Madeleine L'Engle""]","['Hope Davis', 'Ava DuVernay', ""Madeleine L'Engle"", 'Charlotte Jones Voiklis']"
Common Sense,['Thomas Paine'],['Walter Dixon']
The House of Silk: A Sherlock Holmes Novel,['Anthony Horowitz'],['Derek Jacobi']
Cloud Cuckoo Land: A Novel,['Anthony Doerr'],"['Marin Ireland', 'Simon Jones']"
"Who Killed Jane Stanford?: A Gilded Age Tale of Murder, Deceit, Spirits and the Birth of a University",['Richard White'],['Christopher P. Brown']
"The Marlow Murder Club: Marlow Murder Club, Book 1",['Robert Thorogood'],['Nicolette McKenzie']
Thank You for Your Servitude: Donald Trump's Washington and the Price of Submission,['Mark Leibovich'],['Joe Barrett']
Take Your Breath Away: A Novel,['Linwood Barclay'],"['Joe Knezevich', 'George Newbern', 'Hillary Huber', 'Pete Simonelli', 'Michael Crouch', 'Lauren Fortgang', 'Jim Meskimen', 'Karissa Vacker']"
When the Corn Is Waist High,['Jeremy Scott'],['Thom Rivera']
Independent People,['Halld�r Laxness'],['Michael Page']
The Unknown Beloved: A Novel,['Amy Harmon'],['Rob Shapiro']
The Greeks: A Global History,['Roderick Beaton'],['Anna Crowe']
The Lying Club,['Annie Ward'],['Teri Schnaubelt']
The Tobacco Wives: A Novel,['Adele Myers'],"['Shannon McManus', 'Janet Metzger']"
Einstein's Fridge: How the Difference Between Hot and Cold Explains the Universe,['Paul Sen'],['Malk Williams']
On Animals,['Susan Orlean'],['Susan Orlean']
The Stranger Behind You: A Novel,['Carol Goodman'],['Samantha Desz']
"Words on the Move: Why English Won't - and Can't - Sit Still (Like, Literally)",['John McWhorter'],['John McWhorter']
